LandSegs,SNH4,INH4,DNH4,BNH4,SNO3,INO3,BNO3,SLON,ILON,DLON,BLON,SRON,IRON,DRON,BRON
 A51015,0.07837,0.77017,0.00916,0.16759,0.02772,3.5705,4.51049,0.05872,0.0832,0.00019,0.11507,0.00713,0.01605,1.12779,1.14107
 B51015,0.15794,0.69406,0.00782,0.19817,0.0588,3.39132,3.37303,0.09905,0.13703,0.00028,0.10159,0.01482,0.04491,1.08619,1.14572
 B51163,0.21398,0.74003,0.00979,0.1658,0.07503,4.19447,3.30528,0.03542,0.03382,0.02347,0.0826,0.01309,0.03817,0.82202,0.87131
 F51015,0.56432,0.6062,0.01427,0.17286,0.21422,2.99468,1.48985,0.35433,0.12893,0.00315,0.10145,0.04266,0.03787,1.07358,1.15568
 C51015,0.61805,0.53383,0.01128,0.17908,0.2376,2.75939,1.4379,0.37217,0.10753,0.0015,0.10521,0.06309,0.02816,1.04894,1.13916
 A51045,0.2426,0.61063,0.0049,0.16399,0.14448,4.18697,3.14182,0.03372,0.02601,0.03479,0.08113,0.00696,0.15095,0.66126,0.84796
 A51071,0.21552,0.61711,0.00023,0.16571,0.36379,3.86624,2.23567,0.03427,0.06102,0.004,0.06344,0.00227,0.82752,0.02992,0.87037
 F51045,0.25339,0.59576,0.00549,0.16383,0.16131,4.15212,3.14333,0.0343,0.025,0.03518,0.08114,0.00688,0.14834,0.66283,0.8478
 F51071,0.20726,0.62708,0.00027,0.1644,0.45045,3.77826,2.16099,0.03833,0.05774,0.00407,0.06156,0.0024,0.82814,0.02985,0.87028
 B51017,1.15699,0.54269,0.00084,0.16341,0.33339,4.35064,2.75813,0.06968,0.02528,0.00553,0.07248,0.00503,0.68047,0.15729,0.84009
 F51017,0.93953,0.50088,0.001,0.15408,0.33021,4.27541,1.41078,0.07949,0.01878,0.00301,0.07862,0.00792,0.68118,0.15372,0.8411
 A51678,0.05637,0.85212,0.02827,0.16264,0.06791,4.61858,3.10149,0.00618,0.02545,0.04982,0.0803,0.00096,0.3019,0.51294,0.81749
 A51017,0.47463,0.41302,0.00091,0.16241,0.11519,3.52137,2.65279,0.05015,0.03725,0.00949,0.07107,0.00336,0.6818,0.15754,0.83965
 A51091,0.22995,0.65255,0.00066,0.15106,0.23264,4.18131,1.89283,0.08087,0.06214,5e-05,0.07866,0.00394,0.88468,0.0913,0.94011
 B51091,0.21794,0.63156,0.00047,0.17205,0.16859,4.17145,3.21902,0.11348,0.05633,0.00059,0.08595,0.00192,0.87817,0.09224,0.93283
