TABLE->,IWAT-PARM1,IWAT-PARM1,IWAT-PARM1,IWAT-PARM1,IWAT-PARM1,IWAT-PARM2,IWAT-PARM2,IWAT-PARM2,IWAT-PARM2,IWAT-PARM3,IWAT-PARM3
VARS->,CSNO,RTOP,VRS,VNN,RTLI,LSUR,SLSUR,NSUR,RETSC,PETMAX,PETMIN
F42021,1,1,0,0,0,265,0.083,0.08,0.1,40,35
F42027,1,1,0,0,0,256,0.09,0.08,0.1,40,35
F42033,1,1,0,0,0,314,0.053,0.08,0.1,40,35
F42035,1,1,0,0,0,238,0.107,0.08,0.1,40,35
F42041,1,1,0,0,0,310,0.056,0.08,0.1,40,35
F42043,1,1,0,0,0,269,0.08,0.08,0.1,40,35
F42055,1,1,0,0,0,321,0.05,0.08,0.1,40,35
F42061,1,1,0,0,0,252,0.094,0.08,0.1,40,35
F42069,1,1,0,0,0,248,0.097,0.08,0.1,40,35
F42071,1,1,0,0,0,275,0.077,0.08,0.1,40,35
F42075,1,1,0,0,0,309,0.056,0.08,0.1,40,35
F42079,1,1,0,0,0,340,0.042,0.08,0.1,40,35
F42081,1,1,0,0,0,390,0.027,0.08,0.1,40,35
F42087,1,1,0,0,0,198,0.153,0.08,0.1,40,35
F42097,1,1,0,0,0,222,0.123,0.08,0.1,40,35
F42107,1,1,0,0,0,355,0.037,0.08,0.1,40,35
F42115,1,1,0,0,0,250,0.095,0.08,0.1,40,35
F42117,1,1,0,0,0,273,0.078,0.08,0.1,40,35
F42119,1,1,0,0,0,304,0.058,0.08,0.1,40,35
F42133,1,1,0,0,0,303,0.059,0.08,0.1,40,35
F51001,1,1,0,0,0,570,0.005,0.08,0.1,40,35
F51003,1,1,0,0,0,282,0.072,0.08,0.1,40,35
F51005,1,1,0,0,0,170,0.197,0.08,0.1,40,35
F51009,1,1,0,0,0,201,0.149,0.08,0.1,40,35
F51011,1,1,0,0,0,320,0.051,0.08,0.1,40,35
F51013,1,1,0,0,0,334,0.045,0.08,0.1,40,35
F51015,1,1,0,0,0,338,0.043,0.08,0.1,40,35
F51017,1,1,0,0,0,129,0.284,0.08,0.1,40,35
F51019,1,1,0,0,0,117,0.318,0.08,0.1,40,35
F51023,1,1,0,0,0,152,0.231,0.08,0.1,40,35
F51033,1,1,0,0,0,345,0.04,0.08,0.1,40,35
F51041,1,1,0,0,0,396,0.026,0.08,0.1,40,35
F51043,1,1,0,0,0,134,0.272,0.08,0.1,40,35
F51045,1,1,0,0,0,178,0.183,0.08,0.1,40,35
F51053,1,1,0,0,0,389,0.027,0.08,0.1,40,35
F51057,1,1,0,0,0,444,0.017,0.08,0.1,40,35
F51059,1,1,0,0,0,342,0.042,0.08,0.1,40,35
F51061,1,1,0,0,0,228,0.116,0.08,0.1,40,35
F51069,1,1,0,0,0,299,0.061,0.08,0.1,40,35
F51071,1,1,0,0,0,239,0.106,0.08,0.1,40,35
F51079,1,1,0,0,0,121,0.305,0.08,0.1,40,35
F51085,1,1,0,0,0,283,0.071,0.08,0.1,40,35
F51087,1,1,0,0,0,422,0.02,0.08,0.1,40,35
F51091,1,1,0,0,0,104,0.358,0.08,0.1,40,35
F51095,1,1,0,0,0,378,0.03,0.08,0.1,40,35
F51099,1,1,0,0,0,414,0.022,0.08,0.1,40,35
F51101,1,1,0,0,0,275,0.076,0.08,0.1,40,35
F51107,1,1,0,0,0,455,0.015,0.08,0.1,40,35
F51113,1,1,0,0,0,178,0.183,0.08,0.1,40,35
F51121,1,1,0,0,0,249,0.096,0.08,0.1,40,35
F51125,1,1,0,0,0,74,0.467,0.08,0.1,40,35
F51131,1,1,0,0,0,415,0.022,0.08,0.1,40,35
F51137,1,1,0,0,0,304,0.058,0.08,0.1,40,35
F51139,1,1,0,0,0,209,0.138,0.08,0.1,40,35
F51145,1,1,0,0,0,278,0.074,0.08,0.1,40,35
F51147,1,1,0,0,0,361,0.035,0.08,0.1,40,35
F51149,1,1,0,0,0,389,0.027,0.08,0.1,40,35
F51153,1,1,0,0,0,294,0.064,0.08,0.1,40,35
F51157,1,1,0,0,0,141,0.256,0.08,0.1,40,35
F51159,1,1,0,0,0,409,0.023,0.08,0.1,40,35
F51161,1,1,0,0,0,147,0.241,0.08,0.1,40,35
F51163,1,1,0,0,0,181,0.178,0.08,0.1,40,35
F51165,1,1,0,0,0,195,0.157,0.08,0.1,40,35
