TABLE->,HT-BED-FLAGS,HT-BED-FLAGS,HT-BED-FLAGS,HEAT-PARM,HEAT-PARM,HEAT-PARM,HEAT-PARM,HEAT-PARM,HEAT-PARM,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,HEAT-INIT,HEAT-INIT
VARS->,BDFG,TGFG,TSTP,ELEV,ELDAT,CFSAEX,KATRAD,KCOND,KEVAP,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TW,AIRTMP
SU2_0741_0690,0,na,na,0977,-0748,0.85,12.18750,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU1_0200_0270,0,na,na,1079,0098,0.10,14.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU1_0050_0090,0,na,na,1164,-0121,0.10,14.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU2_0160_0260,0,na,na,1319,0236,0.20,14.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU4_0630_0650,0,na,na,0956,-0303,0.40,14.93750,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU2_0830_0831,0,na,na,1107,-0618,0.20,12.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU3_0831_0790,0,na,na,1020,-0705,0.85,12.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU3_0790_0770,0,na,na,1007,-0718,0.30,14.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU1_0380_0400,0,na,na,1207,-0741,0.10,14.56250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU1_0080_0210,0,na,na,1384,-0449,0.10,16.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU4_0260_0350,0,na,na,1012,-0071,0.40,14.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
