riverseg,landseg,landuse,nutrient,loadingrate
MN4_7710_8161,A51149,cfo,sedm,0
NR6_7820_7960,A51045,afo,sedm,18.530001
NR6_8051_8000,C51071,cfo,sedm,0
OR1_7700_7980,A51011,cfo,sedm,0
OR2_7650_8070,A51019,cfo,sedm,0
MN3_8150_0000,A51550,cfo,sedm,0
MN4_7710_8161,A51053,cfo,sedm,0
MN4_8080_8110,A51093,cfo,sedm,0
NR1_7880_8050,A54063,afo,sedm,0
NR1_7880_8050,F54063,cfo,sedm,0
NR1_8030_8051,B51071,cfo,sedm,0
NR6_7820_7960,A51045,cfo,sedm,0
NR6_8000_0000,B51071,afo,sedm,4.5599999
NR6_8050_8051,A51071,cfo,sedm,0
NR6_8051_8000,A51071,cfo,sedm,0
OR1_8280_8020,B51161,afo,sedm,29.74
OR2_7610_7780,A51019,afo,sedm,43.130001
OR2_7610_7780,A51515,afo,sedm,0
OR2_7650_8070,A51023,afo,sedm,65.080002
OR2_7900_7740,A51161,afo,sedm,29.74
OR2_8070_8120,B51019,afo,sedm,43.130001
OR2_8130_7900,A51121,afo,sedm,67.169998
OR2_8130_7900,A51161,afo,sedm,29.74
OR5_7970_8200,A51031,afo,sedm,10.26
OR5_7980_8200,A51037,afo,sedm,12.64
OR5_8370_8410,A51037,cfo,sedm,0
PL0_4510_0001,F11001,afo,sedm,0
PL0_5253_0000,F51059,afo,sedm,12.54
PL0_5253_0000,F51059,cfo,sedm,0
PL0_5440_0000,F24017,afo,sedm,0
PL0_5450_0000,A24017,afo,sedm,3.4200001
PL0_5490_0001,F51153,cfo,sedm,0
PL0_5492_0000,F51153,cfo,sedm,0
PL0_5493_0000,A51153,cfo,sedm,0
PL0_5493_0000,F51179,afo,sedm,14.06
PL0_5540_5490,A51153,cfo,sedm,0
PL0_5584_0000,A24017,afo,sedm,3.4200001
PL0_5670_0000,A24017,afo,sedm,3.4200001
PL0_5671_0000,A24037,cfo,sedm,0
PL0_5901_0000,A51099,cfo,sedm,0
PL0_5923_0000,A51099,afo,sedm,15.96
PL0_5930_0000,F24017,afo,sedm,0
PL0_5950_0000,A24037,afo,sedm,2.6600001
PL0_6100_0000,A51193,cfo,sedm,0
PL0_6101_0000,A51193,cfo,sedm,0
PL0_6131_0000,A51193,cfo,sedm,0
PL0_6270_0000,A51133,cfo,sedm,0
PL1_4460_4780,A24031,afo,sedm,11.69
PL1_4540_0001,A24033,cfo,sedm,0
PL1_4780_0001,A24031,cfo,sedm,0
PL1_5060_0000,A24033,cfo,sedm,0
PL1_5061_0000,A24033,afo,sedm,28.41
PL1_5061_0000,F24033,cfo,sedm,0
PL1_5230_0001,F24033,afo,sedm,28.41
