riverseg,Total EOF Loads (lbs/yr) ***
SL9_2490_2520,473959.2536
SL9_2520_2700,1738649.729
SL9_2700_2720,661148.5678
SL9_2720_0001,2355781.003
SL9_2970_0000,190341.9889
SL9_2971_0000,38731.00594
SU1_0050_0090,390470.4346
SU1_0060_0190,479091.0913
SU1_0080_0210,282028.5373
SU1_0200_0270,342390.4243
SU1_0330_0560,515924.556
SU1_0380_0400,135587.5307
SU1_0390_0560,304663.536
SU1_0410_0480,115441.9223
SU1_0660_0710,485247.5911
SU1_0820_0740,417076.2503
SU1_0840_0831,513294.5225
SU1_0940_0900,288063.5968
SU1_1480_1500,265442.7486
SU1_1630_1610,723909.4422
SU2_0020_0140,578951.0155
SU2_0030_0140,518308.4569
SU2_0040_0180,403306.2094
SU2_0070_0090,814145.112
SU2_0100_0230,563705.8998
SU2_0110_0240,730036.8061
SU2_0120_0260,1044237.362
SU2_0130_0250,500930.4576
SU2_0150_0220,623277.5835
SU2_0160_0260,855715.7201
SU2_0210_0300,304205.7183
SU2_0280_0430,468665.411
SU2_0290_0291,352453.2222
SU2_0291_0320,9756.18314
SU2_0320_0340,19881.3226
SU2_0360_0460,226108.8605
SU2_0440_0550,565267.9787
SU2_0450_0720,546565.5915
SU2_0470_0590,596423.121
SU2_0510_0570,744082.9494
SU2_0560_0590,39708.06598
SU2_0570_0580,168277.5469
SU2_0620_0580,455648.0658
SU2_0640_0630,776742.064
SU2_0670_0810,146230.0595
SU2_0680_0610,900068.0421
SU2_0700_0860,1077978.611
SU2_0740_0741,1048290.099
SU2_0741_0690,75440.55885
SU2_0760_0960,568902.4468
SU2_0780_0710,336763.1007
SU2_0800_0850,1361650.512
SU2_0830_0831,256220.943
SU2_0890_0900,898188.3374
SU2_0900_0870,38687.71666
SU2_0920_0830,639585.6949
SU2_0990_0950,520048.2797
SU2_1020_0980,549416.0343
SU2_1200_1310,510547.2307
SU2_1210_1310,623042.0097
SU2_1290_1500,377590.5496
SU2_1550_1620,775045.2459
SU3_0010_0190,1189973.679
SU3_0090_0170,494401.2179
SU3_0140_0180,145245.1974
SU3_0170_0270,537978.6891
SU3_0180_0230,157132.6871
SU3_0190_0300,407917.1959
SU3_0240_0350,595623.9795
SU3_0370_0490,2403843.625
SU3_0490_0530,529384.1145
SU3_0590_0540,29672.68562
SU3_0710_0910,1007657.178
SU3_0770_0690,87162.80879
SU3_0790_0770,206728.7885
SU3_0810_0970,327140.5816
SU3_0831_0790,515829.9098
SU3_0870_0730,357695.6363
SU3_0910_1010,104887.5052
SU3_0970_1120,1270917.185
SU3_1280_1590,1010685.571
SU3_1310_1280,440844.3397
SU3_1500_1420,90967.69216
SU4_0220_0250,164342.214
SU4_0230_0220,37293.46161
SU4_0250_0340,331208.9702
SU4_0260_0350,958982.0081
SU4_0270_0430,1068088.819
SU4_0300_0310,290350.7994
SU4_0350_0420,212576.2738
SU4_0430_0420,88190.65296
SU4_0580_0630,484068.0762
SU4_0630_0650,147866.4177
SU4_0690_0650,279112.4958
SU5_0310_0400,254953.857
SU5_0340_0310,209236.2879
SU5_0400_0460,59369.90348
SU5_0420_0500,581458.7176
SU5_0460_0480,157848.1818
SU5_0530_0610,1215923.986
SU5_0600_0750,453730.4802
SU5_0610_0600,586230.5823
SU5_0650_0530,75449.19473
SU7_0750_0850,331713.5239
SU6_0480_0520,1821346.296
SU6_0500_0550,616527.1288
SU6_0520_0500,271102.0863
SU7_0540_0720,1098309.852
SU7_0550_0540,518427.1971
SU7_0720_0750,106238.294
SU7_0730_0860,1135680.968
SU7_0850_0730,48998.12
SU7_0860_0960,758391.3252
SU7_0950_1010,115965.4558
SU7_0960_0950,61447.06412
SU7_0980_1120,574802.3176
SU7_1010_0980,6454.767352
SU7_1120_1140,585357.8928
SU7_1140_1420,1392550.603
SU7_1420_1590,665734.1061
SU8_1530_1760,720021.6086
SU8_1590_1620,35300.2035
SU8_1610_1530,346914.7213
SU8_1620_1610,49005.51942
SW0_1520_1600,443192.3899
SW1_1160_1260,125906.9035
SW1_1170_1270,163182.0536
SW1_1180_1190,78531.43646
SW1_1450_1510,594707.3447
SW1_1510_1680,713707.9354
SW1_1560_1460,168852.6703
SW1_1570_1640,1326518.923
SW1_1830_1690,464258.0185
SW1_1890_1830,225496.6084
SW1_1910_1890,511081.5495
SW2_0880_0930,219601.3021
SW2_1000_1110,461302.081
SW2_1030_1060,361811.2258
SW2_1050_0930,132469.0735
SW2_1070_1060,407715.2243
SW2_1100_1130,279299.5983
SW2_1190_1410,1044877.67
SW2_1240_1270,372022.2232
