riverseg,Additional EOS Loads (lbs/yr) ***
SU2_0100_0230,3091.59011
SU2_0110_0240,1815.5535
SU2_0120_0260,2474.3505
SU2_0130_0250,2722.898
SU2_0150_0220,3912.8753
SU2_0160_0260,10658.0022
SU2_0210_0300,623.9975
SU2_0280_0430,7852.07243
SU2_0290_0291,735.7016
SU2_0291_0320,1584.588
SU2_0320_0340,14.14811
SU2_0360_0460,1417.725
SU2_0440_0550,70298.3153
SU2_0450_0720,11896.05489
SU2_0470_0590,1963.5327
SU2_0510_0570,6047.3694
SU2_0560_0590,54.78279
SU2_0570_0580,25958.32409
SU2_0620_0580,150.9846
SU2_0640_0630,780.0869
SU2_0670_0810,1470.75
SU2_0680_0610,773.27573
SU2_0700_0860,10480.457
SU2_0740_0741,3810.31596
SU2_0741_0690,5283.885
SU2_0760_0960,0
SU2_0780_0710,84.2284
SU2_0800_0850,2045.68
SU2_0830_0831,2512.9519
SU2_0890_0900,125.1173
SU2_0900_0870,127.3838
SU2_0920_0830,916.57
SU2_0990_0950,79.13643
SU2_1020_0980,0
SU2_1200_1310,1914.23
SU2_1210_1310,36.1163
SU2_1290_1500,3519.303
SU2_1550_1620,23545.8627
SU3_0010_0190,3717.7277
SU3_0090_0170,420.1422
SU3_0140_0180,921.8145
SU3_0170_0270,14170.8882
SU3_0180_0230,5913.794
SU3_0190_0300,3903.4433
SU3_0240_0350,18657.81828
SU3_0370_0490,31248.0325
SU3_0490_0530,97391.0292
SU3_0590_0540,82.17419
SU3_0710_0910,3068.52
SU3_0770_0690,55.20763
SU3_0790_0770,150.5663
SU3_0810_0970,12687.453
SU3_0831_0790,0
SU3_0870_0730,0
SU3_0910_1010,0
SU3_0970_1120,157044.2954
SU3_1280_1590,67.75811
SU3_1310_1280,0
SU3_1500_1420,0
SU4_0220_0250,24502.78521
SU4_0230_0220,212.7264
SU4_0250_0340,2282.7925
SU4_0260_0350,27495.5527
SU4_0270_0430,32150.924
SU4_0300_0310,1774.4947
SU4_0350_0420,2159.0977
SU4_0430_0420,1182.1349
SU4_0580_0630,3560.0225
SU4_0630_0650,767.5049
SU4_0690_0650,842.9971
SU5_0310_0400,2518.18253
SU5_0340_0310,7550.5548
SU5_0400_0460,1537.113
SU5_0420_0500,9324.8252
SU5_0460_0480,2804.8849
SU5_0530_0610,162699.23
SU5_0600_0750,1963.2945
SU5_0610_0600,1902.022
SU5_0650_0530,654.2664
SU7_0750_0850,0
SU6_0480_0520,12852.986
SU6_0500_0550,193638.861
SU6_0520_0500,4256.917
SU7_0540_0720,4999.6219
SU7_0550_0540,30732.4797
SU7_0720_0750,8498.71029
SU7_0730_0860,0
SU7_0850_0730,7016.426
SU7_0860_0960,0
SU7_0950_1010,0
SU7_0960_0950,65883.91
SU7_0980_1120,7664.438
SU7_1010_0980,0
SU7_1120_1140,0
SU7_1140_1420,122139.7673
SU7_1420_1590,71437.27
SU8_1530_1760,65793.22
SU8_1590_1620,0
SU8_1610_1530,98.23786
SU8_1620_1610,0
SW0_1520_1600,0
SW1_1160_1260,22.61399
SW1_1170_1270,31.58981
SW1_1180_1190,73.48383
SW1_1450_1510,4200.95
SW1_1510_1680,0
SW1_1560_1460,0
SW1_1570_1640,3382.17
SW1_1830_1690,8472.542
SW1_1890_1830,7339.086
SW1_1910_1890,0
SW2_0880_0930,0
SW2_1000_1110,0
SW2_1030_1060,350.3285
SW2_1050_0930,0
SW2_1070_1060,45.83659
SW2_1100_1130,0
SW2_1190_1410,5838.15494
SW2_1240_1270,3475.226
SW2_1360_1430,347.488
SW2_1770_1690,0
SW2_1950_1940,4792.372943
SW2_2020_1940,5839.22279
SW3_0930_1110,13764.27
SW3_1040_1220,458.08661
SW3_1060_1260,138.76337
SW3_1080_1350,118.2886
SW3_1090_1091,205.3338
SW3_1091_1380,1737.44
SW3_1130_1390,0
SW3_1220_1320,40.632714
SW3_1250_1340,31.841528
SW3_1270_1370,15.79491
SW3_1370_1430,205.3338
SW3_1380_1490,379.0778
SW3_1390_1330,18.5855
SW3_1580_1440,16797.25
SW3_1600_1580,0
SW3_1660_1580,1841.112
SW3_1690_1660,0
SW3_1750_1540,5860.05335
SW3_1800_1650,35.003
SW3_1870_1800,3740.50749
SW3_1920_1750,378.7585993
SW4_1110_1150,53.1694831
SW4_1150_1350,273.1075
SW4_1260_1300,644.75109
SW4_1430_1490,600.2065
SW4_1490_1400,728.79996
SW4_1720_1650,14977.04495
SW4_1860_1720,3255.279
SW4_1940_1860,0
SW5_1350_1470,190.38069
SW5_1540_1400,100.2894
SW5_1650_1540,0
SW6_1230_1440,2214.974698
SW6_1330_1230,0
SW6_1400_1330,0
SW6_1440_1470,4495.586
SW7_1300_1410,5209.902
