land,for,hvf,rpd,npd,cpd,rcn,ccn,rex,nex,cex,pas,trp,urs,alf,hyw,hyo,hom,hwm,lwm,nhy,npa,nal ,nho,nhi,nlo,afo,cfo,rid,nid,cid
F42117,0.3,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.6,7.2,5.7,1.1,1.1,1.1,4.29,4.29,2.58,1.1,0.6,1.1,4.29,4.29,2.58,5.7,5.7,5.18,5.18,5.18
F42119,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.08,0.96,0.76,1.43,1.43,1.43,5.58,5.58,3.35,1.43,0.08,1.43,5.58,5.58,3.35,0.76,0.76,5.18,5.18,5.18
F42133,0.3,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.31,3.72,2.95,2.89,2.89,2.89,11.29,11.29,6.78,2.89,0.31,2.89,11.29,11.29,6.78,2.95,2.95,5.18,5.18,5.18
F51001,0.13,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.04,0.48,0.38,0.57,0.57,0.57,2.22,2.22,1.33,0.57,0.04,0.57,2.22,2.22,1.33,0.38,0.38,5.18,5.18,5.18
F51003,0.25,3,0.74,0.74,0.74,24.7,24.7,10,10,10,2.85,34.2,27.08,0.27,0.27,0.27,1.04,1.04,0.63,0.27,2.85,0.27,1.04,1.04,0.63,27.08,27.08,5.18,5.18,5.18
F51005,0.35,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.54,18.48,14.63,0.02,0.02,0.02,0.09,0.09,0.06,0.02,1.54,0.02,0.09,0.09,0.06,14.63,14.63,5.18,5.18,5.18
F51009,0.26,3,0.74,0.74,0.74,24.7,24.7,10,10,10,3.45,41.4,32.78,0.8,0.8,0.8,3.12,3.12,1.87,0.8,3.45,0.8,3.12,3.12,1.87,32.78,32.78,5.18,5.18,5.18
F51011,0.25,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.83,21.96,17.39,1.29,1.29,1.29,5.03,5.03,3.02,1.29,1.83,1.29,5.03,5.03,3.02,17.39,17.39,5.18,5.18,5.18
F51013,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.83,21.96,17.39,1.29,1.29,1.29,5.03,5.03,3.02,1.29,1.83,1.29,5.03,5.03,3.02,17.39,17.39,5.18,5.18,5.18
F51015,0.21,3,0.74,0.74,0.74,24.7,24.7,10,10,10,3.74,44.88,35.53,3.21,3.21,3.21,12.53,12.53,7.52,3.21,3.74,3.21,12.53,12.53,7.52,35.53,35.53,5.18,5.18,5.18
F51017,0.38,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.51,18.12,14.35,0.19,0.19,0.19,0.75,0.75,0.45,0.19,1.51,0.19,0.75,0.75,0.45,14.35,14.35,5.18,5.18,5.18
F51019,0.38,3,0.74,0.74,0.74,24.7,24.7,10,10,10,4.54,54.48,43.13,0.89,0.89,0.89,3.46,3.46,2.08,0.89,4.54,0.89,3.46,3.46,2.08,43.13,43.13,5.18,5.18,5.18
F51023,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,6.85,82.2,65.08,2.17,2.17,2.17,8.46,8.46,5.08,2.17,6.85,2.17,8.46,8.46,5.08,65.08,65.08,5.18,5.18,5.18
F51033,0.17,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.09,1.08,0.86,1.26,1.26,1.26,4.92,4.92,2.95,1.26,0.09,1.26,4.92,4.92,2.95,0.86,0.86,5.18,5.18,5.18
F51041,0.16,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.28,3.36,2.66,1.51,1.51,1.51,5.9,5.9,3.54,1.51,0.28,1.51,5.9,5.9,3.54,2.66,2.66,5.18,5.18,5.18
F51043,0.23,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.67,8.04,6.37,0.55,0.55,0.55,2.15,2.15,1.29,0.55,0.67,0.55,2.15,2.15,1.29,6.37,6.37,5.18,5.18,5.18
F51045,0.32,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.95,23.4,18.53,0.97,0.97,0.97,3.8,3.8,2.28,0.97,1.95,0.97,3.8,3.8,2.28,18.53,18.53,5.18,5.18,5.18
F51053,0.16,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.29,15.48,12.26,3.22,3.22,3.22,12.57,12.57,7.54,3.22,1.29,3.22,12.57,12.57,7.54,12.26,12.26,5.18,5.18,5.18
F51057,0.18,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.22,2.64,2.09,1.59,1.59,1.59,6.23,6.23,3.74,1.59,0.22,1.59,6.23,6.23,3.74,2.09,2.09,5.18,5.18,5.18
F51059,0.2,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.32,15.84,12.54,1.35,1.35,1.35,5.28,5.28,3.17,1.35,1.32,1.35,5.28,5.28,3.17,12.54,12.54,5.18,5.18,5.18
F51061,0.21,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.73,8.76,6.94,1.22,1.22,1.22,4.78,4.78,2.87,1.22,0.73,1.22,4.78,4.78,2.87,6.94,6.94,5.18,5.18,5.18
F51069,0.24,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.88,10.56,8.36,1.07,1.07,1.07,4.2,4.2,2.52,1.07,0.88,1.07,4.2,4.2,2.52,8.36,8.36,5.18,5.18,5.18
F51071,0.36,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.48,5.76,4.56,0.03,0.03,0.03,0.11,0.11,0.07,0.03,0.48,0.03,0.11,0.11,0.07,4.56,4.56,5.18,5.18,5.18
F51079,0.21,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.24,14.88,11.78,1.22,1.22,1.22,4.77,4.77,2.86,1.22,1.24,1.22,4.77,4.77,2.86,11.78,11.78,5.18,5.18,5.18
F51085,0.16,3,0.74,0.74,0.74,24.7,24.7,10,10,10,3.58,42.96,34.01,1.81,1.81,1.81,7.07,7.07,4.24,1.81,3.58,1.81,7.07,7.07,4.24,34.01,34.01,5.18,5.18,5.18
F51087,0.14,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.24,2.88,2.28,1.64,1.64,1.64,6.4,6.4,3.84,1.64,0.24,1.64,6.4,6.4,3.84,2.28,2.28,5.18,5.18,5.18
F51091,0.34,3,0.74,0.74,0.74,24.7,24.7,10,10,10,5.5,66,52.25,0.11,0.11,0.11,0.42,0.42,0.25,0.11,5.5,0.11,0.42,0.42,0.25,52.25,52.25,5.18,5.18,5.18
F51095,0.17,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.64,7.68,6.08,1.51,1.51,1.51,5.92,5.92,3.55,1.51,0.64,1.51,5.92,5.92,3.55,6.08,6.08,5.18,5.18,5.18
F51099,0.18,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.68,20.16,15.96,0.63,0.63,0.63,2.45,2.45,1.47,0.63,1.68,0.63,2.45,2.45,1.47,15.96,15.96,5.18,5.18,5.18
F51101,0.19,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.39,4.68,3.71,1.35,1.35,1.35,5.27,5.27,3.16,1.35,0.39,1.35,5.27,5.27,3.16,3.71,3.71,5.18,5.18,5.18
F51107,0.19,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.66,7.92,6.27,1.33,1.33,1.33,5.19,5.19,3.12,1.33,0.66,1.33,5.19,5.19,3.12,6.27,6.27,5.18,5.18,5.18
F51113,0.23,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.54,18.48,14.63,2.75,2.75,2.75,10.75,10.75,6.45,2.75,1.54,2.75,10.75,10.75,6.45,14.63,14.63,5.18,5.18,5.18
F51121,0.34,3,0.74,0.74,0.74,24.7,24.7,10,10,10,7.07,84.84,67.17,2.16,2.16,2.16,8.46,8.46,5.07,2.16,7.07,2.16,8.46,8.46,5.07,67.17,67.17,5.18,5.18,5.18
F51125,0.3,3,0.74,0.74,0.74,24.7,24.7,10,10,10,2.34,28.08,22.23,2.01,2.01,2.01,7.86,7.86,4.72,2.01,2.34,2.01,7.86,7.86,4.72,22.23,22.23,5.18,5.18,5.18
F51131,0.13,3,0.74,0.74,0.74,24.7,24.7,10,10,10,2.34,28.08,22.23,0.58,0.58,0.58,2.25,2.25,1.35,0.58,2.34,0.58,2.25,2.25,1.35,22.23,22.23,5.18,5.18,5.18
F51137,0.2,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.66,19.92,15.77,1.86,1.86,1.86,7.26,7.26,4.35,1.86,1.66,1.86,7.26,7.26,4.35,15.77,15.77,5.18,5.18,5.18
F51139,0.3,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.89,10.68,8.46,1.95,1.95,1.95,7.61,7.61,4.57,1.95,0.89,1.95,7.61,7.61,4.57,8.46,8.46,5.18,5.18,5.18
F51145,0.19,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.32,3.84,3.04,0.79,0.79,0.79,3.09,3.09,1.86,0.79,0.32,0.79,3.09,3.09,1.86,3.04,3.04,5.18,5.18,5.18
F51147,0.19,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.97,11.64,9.22,1.16,1.16,1.16,4.53,4.53,2.72,1.16,0.97,1.16,4.53,4.53,2.72,9.22,9.22,5.18,5.18,5.18
F51149,0.15,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.64,7.68,6.08,2.25,2.25,2.25,8.79,8.79,5.27,2.25,0.64,2.25,8.79,8.79,5.27,6.08,6.08,5.18,5.18,5.18
F51153,0.18,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.34,4.08,3.23,0.92,0.92,0.92,3.58,3.58,2.15,0.92,0.34,0.92,3.58,3.58,2.15,3.23,3.23,5.18,5.18,5.18
F51157,0.25,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.83,9.96,7.89,3.81,3.81,3.81,14.88,14.88,8.93,3.81,0.83,3.81,14.88,14.88,8.93,7.89,7.89,5.18,5.18,5.18
F51159,0.16,3,0.74,0.74,0.74,24.7,24.7,10,10,10,3.73,44.76,35.44,0.24,0.24,0.24,0.92,0.92,0.55,0.24,3.73,0.24,0.92,0.92,0.55,35.44,35.44,5.18,5.18,5.18
F51161,0.6,3,0.74,0.74,0.74,24.7,24.7,10,10,10,3.13,37.56,29.74,1.81,1.81,1.81,7.06,7.06,4.24,1.81,3.13,1.81,7.06,7.06,4.24,29.74,29.74,5.18,5.18,5.18
F51163,0.34,3,0.74,0.74,0.74,24.7,24.7,10,10,10,9.9,118.8,94.05,1.85,1.85,1.85,7.24,7.24,4.34,1.85,9.9,1.85,7.24,7.24,4.34,94.05,94.05,5.18,5.18,5.18
F51165,0.24,3,0.74,0.74,0.74,24.7,24.7,10,10,10,3.56,42.72,33.82,2.83,2.83,2.83,11.06,11.06,6.64,2.83,3.56,2.83,11.06,11.06,6.64,33.82,33.82,5.18,5.18,5.18
F51171,0.27,3,0.74,0.74,0.74,24.7,24.7,10,10,10,3.2,38.4,30.4,2.1,2.1,2.1,8.19,8.19,4.91,2.1,3.2,2.1,8.19,8.19,4.91,30.4,30.4,5.18,5.18,5.18
F51177,0.17,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.89,10.68,8.46,1.41,1.41,1.41,5.52,5.52,3.31,1.41,0.89,1.41,5.52,5.52,3.31,8.46,8.46,5.18,5.18,5.18
F51179,0.19,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.48,17.76,14.06,3.2,3.2,3.2,12.52,12.52,7.51,3.2,1.48,3.2,12.52,12.52,7.51,14.06,14.06,5.18,5.18,5.18
F51181,0.16,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.26,3.12,2.47,1.86,1.86,1.86,7.28,7.28,4.37,1.86,0.26,1.86,7.28,7.28,4.37,2.47,2.47,5.18,5.18,5.18
F51187,0.47,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.31,15.72,12.45,1.92,1.92,1.92,7.52,7.52,4.51,1.92,1.31,1.92,7.52,7.52,4.51,12.45,12.45,5.18,5.18,5.18
F51193,0.16,3,0.74,0.74,0.74,24.7,24.7,10,10,10,2.01,24.12,19.1,0.3,0.3,0.3,1.19,1.19,0.71,0.3,2.01,0.3,1.19,1.19,0.71,19.1,19.1,5.18,5.18,5.18
F51199,0.15,3,0.74,0.74,0.74,24.7,24.7,10,10,10,2.38,28.56,22.61,0.95,0.95,0.95,3.73,3.73,2.24,0.95,2.38,0.95,3.73,3.73,2.24,22.61,22.61,5.18,5.18,5.18
F51510,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,2.38,28.56,22.61,0.95,0.95,0.95,3.73,3.73,2.24,0.95,2.38,0.95,3.73,3.73,2.24,22.61,22.61,5.18,5.18,5.18
F51530,0.6,3,0.74,0.74,0.74,24.7,24.7,10,10,10,2.38,28.56,22.61,0.95,0.95,0.95,3.73,3.73,2.24,0.95,2.38,0.95,3.73,3.73,2.24,22.61,22.61,5.18,5.18,5.18
F51540,0.4,3,0.74,0.74,0.74,24.7,24.7,10,10,10,2.38,28.56,22.61,0.95,0.95,0.95,3.73,3.73,2.24,0.95,2.38,0.95,3.73,3.73,2.24,22.61,22.61,5.18,5.18,5.18
F51550,0.13,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.02,0.24,0.19,0.66,0.66,0.66,2.57,2.57,1.54,0.66,0.02,0.66,2.57,2.57,1.54,0.19,0.19,5.18,5.18,5.18
F51580,0.6,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.02,0.24,0.19,0.66,0.66,0.66,2.57,2.57,1.54,0.66,0.02,0.66,2.57,2.57,1.54,0.19,0.19,5.18,5.18,5.18
F51630,0.58,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.02,0.24,0.19,0.66,0.66,0.66,2.57,2.57,1.54,0.66,0.02,0.66,2.57,2.57,1.54,0.19,0.19,5.18,5.18,5.18
F51650,0.15,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.02,0.24,0.19,0.66,0.66,0.66,2.57,2.57,1.54,0.66,0.02,0.66,2.57,2.57,1.54,0.19,0.19,5.18,5.18,5.18
F51660,0.47,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.02,0.24,0.19,0.66,0.66,0.66,2.57,2.57,1.54,0.66,0.02,0.66,2.57,2.57,1.54,0.19,0.19,5.18,5.18,5.18
F51670,0.2,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.02,0.24,0.19,0.66,0.66,0.66,2.57,2.57,1.54,0.66,0.02,0.66,2.57,2.57,1.54,0.19,0.19,5.18,5.18,5.18
F51700,0.19,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.02,0.24,0.19,0.66,0.66,0.66,2.57,2.57,1.54,0.66,0.02,0.66,2.57,2.57,1.54,0.19,0.19,5.18,5.18,5.18
F51710,0.14,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.02,0.24,0.19,0.66,0.66,0.66,2.57,2.57,1.54,0.66,0.02,0.66,2.57,2.57,1.54,0.19,0.19,5.18,5.18,5.18
F51730,0.2,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.02,0.24,0.19,0.66,0.66,0.66,2.57,2.57,1.54,0.66,0.02,0.66,2.57,2.57,1.54,0.19,0.19,5.18,5.18,5.18
F51735,0.13,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.02,0.24,0.19,0.66,0.66,0.66,2.57,2.57,1.54,0.66,0.02,0.66,2.57,2.57,1.54,0.19,0.19,5.18,5.18,5.18
F51740,0.14,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.02,0.24,0.19,0.66,0.66,0.66,2.57,2.57,1.54,0.66,0.02,0.66,2.57,2.57,1.54,0.19,0.19,5.18,5.18,5.18
F51760,0.16,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.02,0.24,0.19,0.66,0.66,0.66,2.57,2.57,1.54,0.66,0.02,0.66,2.57,2.57,1.54,0.19,0.19,5.18,5.18,5.18
F51790,0.47,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.02,0.24,0.19,0.66,0.66,0.66,2.57,2.57,1.54,0.66,0.02,0.66,2.57,2.57,1.54,0.19,0.19,5.18,5.18,5.18
F51800,0.13,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.06,0.72,0.57,0.95,0.95,0.95,3.72,3.72,2.23,0.95,0.06,0.95,3.72,3.72,2.23,0.57,0.57,5.18,5.18,5.18
F51810,0.13,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.09,1.08,0.86,0.6,0.6,0.6,2.34,2.34,1.4,0.6,0.09,0.6,2.34,2.34,1.4,0.86,0.86,5.18,5.18,5.18
F51820,0.47,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.09,1.08,0.86,0.6,0.6,0.6,2.34,2.34,1.4,0.6,0.09,0.6,2.34,2.34,1.4,0.86,0.86,5.18,5.18,5.18
F51830,0.2,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.09,1.08,0.86,0.6,0.6,0.6,2.34,2.34,1.4,0.6,0.09,0.6,2.34,2.34,1.4,0.86,0.86,5.18,5.18,5.18
F54003,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.33,3.96,3.14,0.63,0.63,0.63,2.45,2.45,1.47,0.63,0.33,0.63,2.45,2.45,1.47,3.14,3.14,5.18,5.18,5.18
F54023,0.13,3,0.74,0.74,0.74,24.7,24.7,10,10,10,2.82,33.84,26.79,0.22,0.22,0.22,0.85,0.85,0.51,0.22,2.82,0.22,0.85,0.85,0.51,26.79,26.79,5.18,5.18,5.18
F54027,0.13,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.74,20.88,16.53,0.37,0.37,0.37,1.45,1.45,0.87,0.37,1.74,0.37,1.45,1.45,0.87,16.53,16.53,5.18,5.18,5.18
F54031,0.15,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.87,22.44,17.77,0.48,0.48,0.48,1.86,1.86,1.12,0.48,1.87,0.48,1.86,1.86,1.12,17.77,17.77,5.18,5.18,5.18
F54037,0.4,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.28,3.36,2.66,0.57,0.57,0.57,2.21,2.21,1.33,0.57,0.28,0.57,2.21,2.21,1.33,2.66,2.66,5.18,5.18,5.18
F54057,0.13,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.87,22.44,17.77,0.18,0.18,0.18,0.68,0.68,0.41,0.18,1.87,0.18,0.68,0.68,0.41,17.77,17.77,5.18,5.18,5.18
F54063,0.6,3,0.74,0.74,0.74,24.7,24.7,10,10,10,6.44,77.28,61.18,2.16,2.16,2.16,8.44,8.44,5.06,2.16,6.44,2.16,8.44,8.44,5.06,61.18,61.18,5.18,5.18,5.18
F54065,0.24,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.36,16.32,12.92,2.69,2.69,2.69,10.5,10.5,6.3,2.69,1.36,2.69,10.5,10.5,6.3,12.92,12.92,5.18,5.18,5.18
F54071,0.13,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.55,18.6,14.73,0.36,0.36,0.36,1.41,1.41,0.85,0.36,1.55,0.36,1.41,1.41,0.85,14.73,14.73,5.18,5.18,5.18
end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
